"MRC 
Table A

Core SD-WAN_Unnamed: 0_level_1_City","MRC 
Table A

Core SD-WAN_Unnamed: 1_level_1_Tax
(%)","MRC 
Table A

Core SD-WAN_Unnamed: 2_level_1_Tax & Transporation","MRC 
Table A

Core SD-WAN_Unnamed: 3_level_1_CPE 
Band-width 
(Mbps)","MRC 
Table A

Core SD-WAN_Unnamed: 4_level_1_Band-width 
Range","VE2000
Need extra accessories_GM Price_MRC
(USD)","VE1000
Need extra accessories_Unnamed: 6_level_1_Unnamed: 6_level_2",VE100b_Unnamed: 7_level_1_Unnamed: 7_level_2,"ISR-4451
Need extra accessories_Unnamed: 8_level_1_Unnamed: 8_level_2","ISR-4431
Need extra accessories_Unnamed: 9_level_1_Unnamed: 9_level_2","ISR-4331
Need extra accessories_Unnamed: 10_level_1_Unnamed: 10_level_2",C1111-8PLTE_Unnamed: 11_level_1_Unnamed: 11_level_2,C1111X-8P_Unnamed: 12_level_1_Unnamed: 12_level_2,ISR1100X-6G_Unnamed: 13_level_1_Unnamed: 13_level_2,ISR1100-4GLTEGB_Unnamed: 14_level_1_Unnamed: 14_level_2,ISR1100-4G_Unnamed: 15_level_1_Unnamed: 15_level_2,"ASR-1001X
Need extra accessories_Unnamed: 16_level_1_Unnamed: 16_level_2","vCPE
vEdgeCloud_Unnamed: 17_level_1_Unnamed: 17_level_2","vCPE
CSR1kv_Unnamed: 18_level_1_Unnamed: 18_level_2","Cisco
Advance License for CPE_GM Price_MRC
(USD)",Premimun License for CPE_Unnamed: 20_level_1_Unnamed: 20_level_2,"Cisco Advance License for Shared GW_GM Price_MRC
(USD)","Cisco
Advance
License for dedicateGW_Unnamed: 22_level_1_MRC
(USD)","MPLS-VPN
 for GW_Unnamed: 23_level_1_MRC
(USD)","Internet
for GW_Unnamed: 24_level_1_MRC
(USD)"
,,,15,11-15Mb,,78.04716832117916,38.08302432117915,,,,81.24951421941148,70.68325787824985,,55.05543615451249,46.76940948784583,,32.890314821179146,,84.20559,150.65796666666668,,92.62614899999976,29.070000000000004,60.6111615095869
,,,25,11-25Mb,332.59948465451254,78.04716832117916,38.08302432117915,535.8882731911287,373.7666778802702,132.73909699188624,81.24951421941148,70.68325787824985,99.17852815451249,55.05543615451249,46.76940948784583,,32.890314821179146,,103.52553750000003,207.05107500000005,,108.70181437500001,48.45,101.01860251597816
,,,50,26-50Mb,332.59948465451254,78.04716832117916,38.08302432117915,535.8882731911287,373.7666778802702,132.73909699188624,81.24951421941148,70.68325787824985,99.17852815451249,55.05543615451249,46.76940948784583,,32.890314821179146,70.57364815451248,128.07537272727265,256.1507454545453,,153.690447272727,96.9,202.03720503195632
,,,100,51-100Mb,332.59948465451254,78.04716832117916,,535.8882731911287,373.7666778802702,132.73909699188624,81.24951421941148,70.68325787824985,99.17852815451249,55.05543615451249,46.76940948784583,,32.890314821179146,70.57364815451248,252.18817166666668,504.37634333333335,0.0,277.40698883333334,193.8,404.07441006391264
,,,250,101-250Mb,332.59948465451254,,,535.8882731911287,373.7666778802702,132.73909699188624,,,99.17852815451249,,,,32.890314821179146,70.57364815451248,338.7354833333334,677.4709666666668,0.0,355.6722575,484.50000000000006,1010.1860251597817
,,,500,251-500Mb,332.59948465451254,,,535.8882731911287,373.7666778802702,,,,,,,,32.890314821179146,70.57364815451248,414.1021500000001,828.2043000000002,0.0,455.51236500000005,969.0000000000001,2020.3720503195634
"4

Thailand  ",0.07,0.13,5,< 5,,78.86080532117916,38.17658665451248,,,,82.12085114550575,71.36421180720608,,55.454807710068046,47.0194832656236,,32.890314821179146,,52.59032166666667,105.18064333333334,,52.59032166666667,138.92851612565335,20.203720503195633
,,,10,6-10Mb,,78.86080532117916,38.17658665451248,,,,82.12085114550575,71.36421180720608,,55.454807710068046,47.0194832656236,,32.890314821179146,,52.59032166666667,105.18064333333334,,63.108386,171.22851612565333,40.40744100639127
,,,15,11-15Mb,,78.86080532117916,38.17658665451248,,,,82.12085114550575,71.36421180720608,,55.454807710068046,47.0194832656236,,32.890314821179146,,85.80950600000001,153.52764222222225,,94.39045659999975,203.52851612565334,60.6111615095869
,,,25,11-25Mb,337.9996498767347,78.86080532117916,38.17658665451248,544.9512994680647,379.90859433178537,134.5381741481152,82.12085114550575,71.36421180720608,100.37291037673471,55.454807710068046,47.0194832656236,,32.890314821179146,,105.49745250000004,210.99490500000007,,110.77232512500001,268.12851612565333,101.01860251597816
